"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"2","C3, C6","2","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"3","C4","1","4.7nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"4","C5","1","2.2uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"5","D1, D2","2","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"6","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"7","J1","1","Eurorack style bus","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"8","J2","1","Input breakout","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"9","J3","1","Out","",""
"10","J4","1","Output breakout","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"11","J6","1","Gate In","",""
"12","Q1, Q5","2","BC557","Package_TO_SOT_THT:TO-92_Inline",""
"13","Q2, Q3, Q4, Q6, Q7","5","BC547","Package_TO_SOT_THT:TO-92_Inline",""
"14","R1","1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R2, R4, R5, R6, R9, R10, R15, R17","8","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R3, R12","2","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","R7, R8, R11, R13, R14, R19","6","6.8K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18","R16, R18","2","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"19","RV1, RV2, RV4","3","2.2M","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"20","RV3","1","100K","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"21","SW1","1","Gate in/ext","",""
"22","SW3","1","Gate/Trig","",""
"23","SW4","1","Trigger","",""
"24","U1","1","4001","Package_DIP:DIP-14_W7.62mm_LongPads",""
"25","U2","1","CA3240E","Package_DIP:DIP-8_W7.62mm_LongPads",""
